IID FID phenotype
10012 10012 3
10036 10036 3
10058 10058 2
10074 10074 2
10077 10077 1
10080 10080 1
10093 10093 3
10097 10097 0
10100 10100 2
10106 10106 0
1010 1010 3
10123 10123 1
10127 10127 1
1013 1013 2
10141 10141 0
10142 10142 2
10171 10171 3
1018 1018 3
10195 10195 1
1020 1020 0
10216 10216 2
1022 1022 1
10232 10232 3
10246 10246 3
1024 1024 0
10260 10260 3
1026 1026 2
10279 10279 2
1028 1028 0
10302 10302 1
10325 10325 0
10339 10339 0
1033 1033 3
10347 10347 0
10348 10348 2
1034 1034 3
1035 1035 2
10362 10362 2
1036 1036 3
10374 10374 2
10381 10381 3
10383 10383 0
10384 10384 2
10388 10388 0
1039 1039 0
10408 10408 0
10414 10414 3
1041 1041 0
10420 10420 0
10424 10424 3
10426 10426 0
1042 1042 1
10430 10430 3
10448 10448 0
10469 10469 3
10477 10477 0
1047 1047 0
10489 10489 0
10490 10490 3
10492 10492 1
10497 10497 1
10507 10507 2
10508 10508 3
1050 1050 2
10520 10520 0
10523 10523 3
10530 10530 0
10542 10542 1
10544 10544 3
10572 10572 0
10575 10575 3
10583 10583 2
10586 10586 0
1058 1058 0
1059 1059 2
1060 1060 3
10620 10620 3
10627 10627 1
10632 10632 3
10635 10635 1
10645 10645 0
10653 10653 3
1066 1066 0
1071 1071 2
1074 1074 0
1075 1075 2
10765 10765 1
10773 10773 3
1077 1077 0
10785 10785 1
1078 1078 3
10790 10790 0
1079 1079 3
1081 1081 3
10827 10827 2
10828 10828 0
10834 10834 1
1085 1085 1
10868 10868 1
10883 10883 2
10897 10897 0
10919 10919 0
1091 1091 0
10926 10926 2
1092 1092 0
10948 10948 3
10959 10959 3
10962 10962 2
10964 10964 2
10967 10967 2
10977 10977 2
10984 10984 1
10986 10986 2
10 10 3
11008 11008 3
11012 11012 0
11015 11015 3
1103 1103 0
1104 1104 3
11053 11053 0
11062 11062 1
11069 11069 1
11076 11076 0
11082 11082 3
11087 11087 3
1111 1111 0
11125 11125 0
11128 11128 2
11135 11135 2
11141 11141 1
11143 11143 1
1114 1114 3
1121 1121 2
1125 1125 3
1129 1129 0
1131 1131 0
1133 1133 0
1134 1134 1
11360 11360 3
11377 11377 3
11393 11393 0
11396 11396 2
11397 11397 3
11425 11425 3
1142 1142 3
11432 11432 3
11441 11441 0
11458 11458 0
11462 11462 2
1147 1147 0
11493 11493 3
11499 11499 3
11502 11502 1
11509 11509 3
11515 11515 1
11520 11520 1
11526 11526 3
11528 11528 3
11529 11529 3
11531 11531 2
11537 11537 2
11548 11548 2
11557 11557 1
11562 11562 1
11584 11584 2
11585 11585 3
1163 1163 3
11641 11641 1
11643 11643 3
