IID	ChipType
10542	chip_HTS_iSelect_HD
10544	chip_HTS_iSelect_HD
11076	chip_HTS_iSelect_HD
10216	chip_HTS_iSelect_HD
11082	chip_HTS_iSelect_HD
10408	chip_HTS_iSelect_HD
10092	chip_HTS_iSelect_HD
11015	chip_HTS_iSelect_HD
11493	chip_HTS_iSelect_HD
11643	chip_HTS_iSelect_HD
1378	chip_HTS_iSelect_HD
1707	chip_HTS_iSelect_HD
1718	chip_HTS_iSelect_HD
1975	chip_HTS_iSelect_HD
1682	chip_HTS_iSelect_HD
1802	chip_HTS_iSelect_HD
1902	chip_HTS_iSelect_HD
1503	chip_HTS_iSelect_HD
1525	chip_HTS_iSelect_HD
1952	chip_HTS_iSelect_HD
1699	chip_HTS_iSelect_HD
1788	chip_HTS_iSelect_HD
1827	chip_HTS_iSelect_HD
1531	chip_HTS_iSelect_HD
1853	chip_HTS_iSelect_HD
1759	chip_HTS_iSelect_HD
1904	chip_HTS_iSelect_HD
1568	chip_HTS_iSelect_HD
1720	chip_HTS_iSelect_HD
1615	chip_HTS_iSelect_HD
1889	chip_HTS_iSelect_HD
1623	chip_HTS_iSelect_HD
1626	chip_HTS_iSelect_HD
1814	chip_HTS_iSelect_HD
2006	chip_HTS_iSelect_HD
1668	chip_HTS_iSelect_HD
1785	chip_HTS_iSelect_HD
1903	chip_HTS_iSelect_HD
1564	chip_HTS_iSelect_HD
1675	chip_HTS_iSelect_HD
1858	chip_HTS_iSelect_HD
1627	chip_HTS_iSelect_HD
1705	chip_HTS_iSelect_HD
1775	chip_HTS_iSelect_HD
1822	chip_HTS_iSelect_HD
1811	chip_HTS_iSelect_HD
1641	chip_HTS_iSelect_HD
1514	chip_HTS_iSelect_HD
1808	chip_HTS_iSelect_HD
2009	chip_HTS_iSelect_HD
1593	chip_HTS_iSelect_HD
1780	chip_HTS_iSelect_HD
1813	chip_HTS_iSelect_HD
1588	chip_HTS_iSelect_HD
2008	chip_HTS_iSelect_HD
2000	chip_HTS_iSelect_HD
1777	chip_HTS_iSelect_HD
1610	chip_HTS_iSelect_HD
1658	chip_HTS_iSelect_HD
1970	chip_HTS_iSelect_HD
1578	chip_HTS_iSelect_HD
1582	chip_HTS_iSelect_HD
1565	chip_HTS_iSelect_HD
1993	chip_HTS_iSelect_HD
2011	chip_HTS_iSelect_HD
1653	chip_HTS_iSelect_HD
1784	chip_HTS_iSelect_HD
1537	chip_HTS_iSelect_HD
16	chip_HTS_iSelect_HD
1522	chip_HTS_iSelect_HD
2004	chip_HTS_iSelect_HD
1631	chip_HTS_iSelect_HD
1685	chip_HTS_iSelect_HD
1879	chip_HTS_iSelect_HD
1706	chip_HTS_iSelect_HD
1702	chip_HTS_iSelect_HD
1991	chip_HTS_iSelect_HD
2001	chip_HTS_iSelect_HD
1810	chip_HTS_iSelect_HD
1600	chip_HTS_iSelect_HD
1686	chip_HTS_iSelect_HD
1763	chip_HTS_iSelect_HD
1887	chip_HTS_iSelect_HD
2013	chip_HTS_iSelect_HD
1717	chip_HTS_iSelect_HD
1833	chip_HTS_iSelect_HD
1573	chip_HTS_iSelect_HD
1669	chip_HTS_iSelect_HD
1695	chip_HTS_iSelect_HD
1723	chip_HTS_iSelect_HD
1521	chip_HTS_iSelect_HD
2056	chip_HTS_iSelect_HD
2362	chip_HTS_iSelect_HD
2099	chip_HTS_iSelect_HD
2076	chip_HTS_iSelect_HD
2645	chip_HTS_iSelect_HD
2455	chip_HTS_iSelect_HD
2633	chip_HTS_iSelect_HD
2635	chip_HTS_iSelect_HD
2189	chip_HTS_iSelect_HD
2067	chip_HTS_iSelect_HD
2616	chip_HTS_iSelect_HD
2570	chip_HTS_iSelect_HD
2025	chip_HTS_iSelect_HD
2166	chip_HTS_iSelect_HD
2183	chip_HTS_iSelect_HD
2030	chip_HTS_iSelect_HD
2402	chip_HTS_iSelect_HD
2034	chip_HTS_iSelect_HD
2090	chip_HTS_iSelect_HD
2457	chip_HTS_iSelect_HD
2075	chip_HTS_iSelect_HD
2399	chip_HTS_iSelect_HD
2557	chip_HTS_iSelect_HD
2692	chip_HTS_iSelect_HD
2510	chip_HTS_iSelect_HD
2421	chip_HTS_iSelect_HD
2039	chip_HTS_iSelect_HD
2276	chip_HTS_iSelect_HD
2356	chip_HTS_iSelect_HD
2239	chip_HTS_iSelect_HD
2291	chip_HTS_iSelect_HD
2225	chip_HTS_iSelect_HD
2052	chip_HTS_iSelect_HD
2279	chip_HTS_iSelect_HD
2675	chip_HTS_iSelect_HD
2350	chip_HTS_iSelect_HD
2064	chip_HTS_iSelect_HD
2116	chip_HTS_iSelect_HD
2699	chip_HTS_iSelect_HD
2159	chip_HTS_iSelect_HD
2628	chip_HTS_iSelect_HD
2576	chip_HTS_iSelect_HD
2334	chip_HTS_iSelect_HD
2083	chip_HTS_iSelect_HD
2361	chip_HTS_iSelect_HD
2554	chip_HTS_iSelect_HD
2535	chip_HTS_iSelect_HD
2177	chip_HTS_iSelect_HD
2568	chip_HTS_iSelect_HD
2406	chip_HTS_iSelect_HD
2453	chip_HTS_iSelect_HD
2297	chip_HTS_iSelect_HD
2648	chip_HTS_iSelect_HD
2367	chip_HTS_iSelect_HD
2314	chip_HTS_iSelect_HD
2202	chip_HTS_iSelect_HD
2454	chip_HTS_iSelect_HD
3257	chip_HTS_iSelect_HD
3326	chip_HTS_iSelect_HD
3078	chip_HTS_iSelect_HD
2755	chip_HTS_iSelect_HD
3304	chip_HTS_iSelect_HD
3176	chip_HTS_iSelect_HD
2891	chip_HTS_iSelect_HD
2960	chip_HTS_iSelect_HD
2887	chip_HTS_iSelect_HD
2794	chip_HTS_iSelect_HD
3069	chip_HTS_iSelect_HD
2860	chip_HTS_iSelect_HD
3113	chip_HTS_iSelect_HD
3080	chip_HTS_iSelect_HD
3340	chip_HTS_iSelect_HD
2759	chip_HTS_iSelect_HD
2797	chip_HTS_iSelect_HD
3090	chip_HTS_iSelect_HD
3122	chip_HTS_iSelect_HD
3216	chip_HTS_iSelect_HD
2898	chip_HTS_iSelect_HD
3321	chip_HTS_iSelect_HD
3193	chip_HTS_iSelect_HD
3108	chip_HTS_iSelect_HD
3196	chip_HTS_iSelect_HD
2964	chip_HTS_iSelect_HD
3046	chip_HTS_iSelect_HD
3140	chip_HTS_iSelect_HD
2858	chip_HTS_iSelect_HD
2740	chip_HTS_iSelect_HD
3244	chip_HTS_iSelect_HD
2901	chip_HTS_iSelect_HD
3289	chip_HTS_iSelect_HD
3248	chip_HTS_iSelect_HD
3137	chip_HTS_iSelect_HD
3064	chip_HTS_iSelect_HD
2702	chip_HTS_iSelect_HD
2949	chip_HTS_iSelect_HD
3275	chip_HTS_iSelect_HD
3324	chip_HTS_iSelect_HD
2958	chip_HTS_iSelect_HD
2725	chip_HTS_iSelect_HD
3111	chip_HTS_iSelect_HD
3364	chip_HTS_iSelect_HD
3018	chip_HTS_iSelect_HD
2764	chip_HTS_iSelect_HD
3265	chip_HTS_iSelect_HD
2720	chip_HTS_iSelect_HD
2907	chip_HTS_iSelect_HD
2841	chip_HTS_iSelect_HD
